CBSA_CODE,CBSA_TITLE,YEAR,predicted_growth_2026,recommendation_label,zhvi_sfr_mid_dec,mortgage_rate_avg,mortgage_rate_yoy,cpi_yoy_pct,unemployment_rate,unemployment_yoy,unemployment_vs_national,had_major_disaster_ann,damage_property_sum_ann
27940,"Juneau, AK",2025,6.9494,Attractive,490880.5041582343,6.5951,-0.1261,2.6344,3.5455,0.1455,-0.7181,0,0
13380,"Bellingham, WA",2025,6.9269,Attractive,627868.0783933925,6.5951,-0.1261,2.6344,4.4,-0.1417,0.1364,1,0
36840,"Ottawa, KS",2025,6.9184,Attractive,244659.26417566455,6.5951,-0.1261,2.6344,3.9182,0.0849,-0.3454,1,80000
24820,"Greenville, OH",2025,6.8865,Attractive,202116.9483342858,6.5951,-0.1261,2.6344,4.5273,0.5606,0.2637,0,12250
31700,"Manchester-Nashua, NH",2025,6.8839,Attractive,534379.7353971218,6.5951,-0.1261,2.6344,3.3545,0.5545,-0.9091,0,24000
41620,"Salt Lake City-Murray, UT",2025,6.8819,Attractive,575296.8438179645,6.5951,-0.1261,2.6344,3.4545,0.2545,-0.8091,0,1038000
25700,"Hays, KS",2025,6.876,Attractive,236284.20040494876,6.5951,-0.1261,2.6344,3.0455,0.1622,-1.2181,1,0
36020,"Oak Harbor, WA",2025,6.8637,Attractive,630724.6298231363,6.5951,-0.1261,2.6344,4.5455,-0.1545,0.2819,1,0
10940,"Alma, MI",2025,6.8459,Attractive,170740.72561738765,6.5951,-0.1261,2.6344,6.0818,0.6235,1.8182,0,0
18180,"Concord, NH",2025,6.8406,Attractive,482750.48596145894,6.5951,-0.1261,2.6344,2.7364,0.4531,-1.5272,0,4100
30620,"Lima, OH",2025,6.8185,Attractive,181352.9626976943,6.5951,-0.1261,2.6344,5.0273,0.6356,0.7637,0,81500
36780,"Oshkosh-Neenah, WI",2025,6.8021,Attractive,287430.2061966202,6.5951,-0.1261,2.6344,2.9,0.2333,-1.3636,0,0
28060,"Kalispell, MT",2025,6.7963,Attractive,629476.3496584863,6.5951,-0.1261,2.6344,3.2091,0.0008,-1.0545,1,0
14740,"Bremerton-Silverdale-Port Orchard, WA",2025,6.7924,Attractive,575212.505219766,6.5951,-0.1261,2.6344,4.2455,-0.2628,-0.0181,0,0
34580,"Mount Vernon-Anacortes, WA",2025,6.7867,Attractive,577758.1271614552,6.5951,-0.1261,2.6344,4.7091,-0.2826,0.4455,1,0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2025,6.7824,Attractive,617317.1726972847,6.5951,-0.1261,2.6344,3.8091,0.8174,-0.4545,0,6196000
32280,"Martin, TN",2025,6.7778,Attractive,180138.435467397,6.5951,-0.1261,2.6344,4.3545,-0.0955,0.0909,0,355500
26700,"Huron, SD",2025,6.7728,Attractive,184217.59020745815,6.5951,-0.1261,2.6344,1.9,0.225,-2.3636,0,0
11260,"Anchorage, AK",2025,6.7562,Attractive,428507.4323197214,6.5951,-0.1261,2.6344,4.2727,0.106,0.0091,1,0
24580,"Green Bay, WI",2025,6.7524,Attractive,326208.77940373326,6.5951,-0.1261,2.6344,2.8909,0.2326,-1.3727,0,165000
31820,"Manitowoc, WI",2025,6.7519,Attractive,248813.0917691331,6.5951,-0.1261,2.6344,2.9909,0.2076,-1.2727,0,0
30140,"Lebanon, PA",2025,6.7447,Attractive,303590.92690196267,6.5951,-0.1261,2.6344,3.6909,0.5742,-0.5727,0,86000
20220,"Dubuque, IA",2025,6.7444,Attractive,263574.3481252656,6.5951,-0.1261,2.6344,3.6273,0.3606,-0.6363,0,0
42740,"Sedalia, MO",2025,6.7394,Attractive,185767.2331543631,6.5951,-0.1261,2.6344,4.0636,0.3553,-0.2,0,0
36260,"Ogden, UT",2025,6.7343,Attractive,515174.0979117214,6.5951,-0.1261,2.6344,3.2545,0.2462,-1.0091,0,5500
39980,"Richmond, IN",2025,6.7266,Attractive,162803.29078225826,6.5951,-0.1261,2.6344,3.8273,-0.5644,-0.4363,0,27000
11020,"Altoona, PA",2025,6.7209,Attractive,164594.05791154635,6.5951,-0.1261,2.6344,4.0,0.4667,-0.2636,0,250000
46540,"Utica-Rome, NY",2025,6.7096,Attractive,213167.87052284784,6.5951,-0.1261,2.6344,3.9273,0.1023,-0.3363,0,953000
31060,"Los Alamos, NM",2025,6.6927,Attractive,597312.6202196354,6.5951,-0.1261,2.6344,1.8455,0.0455,-2.4181,0,0
13900,"Bismarck, ND",2025,6.6825,Attractive,353606.52137656213,6.5951,-0.1261,2.6344,2.4545,0.1128,-1.8091,1,8576000
41140,"St. Joseph, MO-KS",2025,6.6788,Attractive,203071.14082988157,6.5951,-0.1261,2.6344,4.0273,0.3106,-0.2363,0,0
31740,"Manhattan, KS",2025,6.6741,Attractive,260252.00716068663,6.5951,-0.1261,2.6344,3.6545,0.2878,-0.6091,0,90250
13460,"Bend, OR",2025,6.6736,Attractive,670023.5026127662,6.5951,-0.1261,2.6344,4.8182,0.5765,0.5546,0,0
19500,"Decatur, IL",2025,6.6593,Attractive,116847.00740750373,6.5951,-0.1261,2.6344,5.6909,-0.1508,1.4273,0,1000000
44980,"Sunbury, PA",2025,6.6571,Attractive,161128.1671143891,6.5951,-0.1261,2.6344,4.3,0.5083,0.0364,0,83000
33340,"Milwaukee-Waukesha, WI",2025,6.6547,Attractive,379371.1066255256,6.5951,-0.1261,2.6344,3.4909,0.2576,-0.7727,1,172125000
29980,"Lawrenceburg, TN",2025,6.6486,Attractive,238040.37587124808,6.5951,-0.1261,2.6344,4.1909,0.3659,-0.0727,0,238000
24220,"Grand Forks, ND-MN",2025,6.6443,Attractive,263493.4817416323,6.5951,-0.1261,2.6344,2.7455,0.3372,-1.5181,1,0
39300,"Providence-Warwick, RI-MA",2025,6.6442,Attractive,513338.32021427527,6.5951,-0.1261,2.6344,4.9455,0.4788,0.6819,0,95600
26090,"Holland, MI",2025,6.6319,Attractive,331483.1595104896,6.5951,-0.1261,2.6344,4.8818,0.7151,0.6182,0,0
32460,"Mayfield, KY",2025,6.5871,Attractive,164322.76247055575,6.5951,-0.1261,2.6344,4.2273,-0.331,-0.0363,1,117000
16580,"Champaign-Urbana, IL",2025,6.5808,Attractive,229962.10126477445,6.5951,-0.1261,2.6344,3.8909,-0.3174,-0.3727,0,0
31860,"Mankato, MN",2025,6.5752,Attractive,296740.4024126012,6.5951,-0.1261,2.6344,3.1545,0.5462,-1.1091,0,840000
24500,"Great Falls, MT",2025,6.572,Attractive,328047.64864294324,6.5951,-0.1261,2.6344,3.0364,0.0864,-1.2272,0,1000
25300,"Hannibal, MO",2025,6.5712,Attractive,204814.8504389389,6.5951,-0.1261,2.6344,4.1273,0.4356,-0.1363,0,105000
15100,"Brookings, SD",2025,6.5597,Attractive,304432.7526800853,6.5951,-0.1261,2.6344,2.0091,0.2591,-2.2545,0,0
39220,"Price, UT",2025,6.5515,Attractive,267336.380337706,6.5951,-0.1261,2.6344,4.3636,0.3803,0.1,0,20000
25880,"Hillsdale, MI",2025,6.55,Attractive,195989.65799155264,6.5951,-0.1261,2.6344,5.5273,0.6856,1.2637,0,56000
28620,"Kill Devil Hills, NC",2025,6.5399,Attractive,606284.0465977824,6.5951,-0.1261,2.6344,4.4,0.2583,0.1364,0,0
46860,"Vernal, UT",2025,6.5394,Attractive,350465.8193399333,6.5951,-0.1261,2.6344,3.5545,0.2962,-0.7091,0,0
33540,"Missoula, MT",2025,6.5263,Attractive,563087.0939151429,6.5951,-0.1261,2.6344,2.9636,0.0636,-1.3,1,4006000
29060,"Laconia, NH",2025,6.5111,Attractive,497987.3191370711,6.5951,-0.1261,2.6344,2.9182,0.5182,-1.3454,0,35000
34700,"Muscatine, IA",2025,6.5111,Attractive,192110.1684822803,6.5951,-0.1261,2.6344,3.9182,0.4682,-0.3454,0,0
30860,"Logan, UT-ID",2025,6.5096,Attractive,459660.9755899816,6.5951,-0.1261,2.6344,2.9636,0.1136,-1.3,0,5000
31900,"Mansfield, OH",2025,6.5028,Attractive,182980.85738485865,6.5951,-0.1261,2.6344,5.4909,0.5242,1.2273,0,0
32740,"Meadville, PA",2025,6.4813,Attractive,163321.3661434202,6.5951,-0.1261,2.6344,4.1909,0.4492,-0.0727,0,24000
49380,"Worthington, MN",2025,6.4813,Attractive,227206.21568204756,6.5951,-0.1261,2.6344,3.4818,0.7985,-0.7818,0,0
29540,"Lancaster, PA",2025,6.469,Attractive,372809.438976216,6.5951,-0.1261,2.6344,3.2727,0.3894,-0.9909,0,210500
48020,"Watertown-Fort Atkinson, WI",2025,6.4608,Attractive,354322.58298517903,6.5951,-0.1261,2.6344,2.9182,0.2765,-1.3454,0,4000
23340,"Fremont, NE",2025,6.4553,Attractive,233669.6423423797,6.5951,-0.1261,2.6344,3.0364,0.2447,-1.2272,1,0
48580,"Whitewater-Elkhorn, WI",2025,6.4538,Attractive,400214.8923806832,6.5951,-0.1261,2.6344,2.8818,0.0818,-1.3818,0,17500
26460,"Hudson, NY",2025,6.442,Attractive,452188.3919737728,6.5951,-0.1261,2.6344,3.2545,0.1128,-1.0091,0,1000
31540,"Madison, WI",2025,6.4351,Attractive,450349.3708886511,6.5951,-0.1261,2.6344,2.5909,0.2326,-1.6727,0,169000
29020,"Kokomo, IN",2025,6.4242,Attractive,181450.51628368304,6.5951,-0.1261,2.6344,5.9545,-0.9205,1.6909,0,195000
33780,"Monroe, MI",2025,6.4217,Attractive,253545.8590508356,6.5951,-0.1261,2.6344,5.8,0.5417,1.5364,0,1500
28260,"Kearney, NE",2025,6.4119,Attractive,288671.1193754139,6.5951,-0.1261,2.6344,2.4909,0.2576,-1.7727,0,0
20260,"Duluth, MN-WI",2025,6.3925,Attractive,245105.65478917572,6.5951,-0.1261,2.6344,4.5182,0.9932,0.2546,0,179000
43260,"Sheridan, WY",2025,6.3891,Attractive,431399.9631912405,6.5951,-0.1261,2.6344,3.2818,0.1068,-0.9818,0,0
37060,"Oxford, MS",2025,6.3746,Attractive,396754.2939893133,6.5951,-0.1261,2.6344,3.1909,0.4326,-1.0727,0,417500
25740,"Helena, MT",2025,6.3679,Attractive,461837.9435860696,6.5951,-0.1261,2.6344,2.8091,0.0674,-1.4545,1,12000
38180,"Pierre, SD",2025,6.3674,Attractive,286342.05785232666,6.5951,-0.1261,2.6344,1.5818,0.0818,-2.6818,0,0
34540,"Mount Vernon, OH",2025,6.3506,Attractive,272853.2349375982,6.5951,-0.1261,2.6344,4.6273,0.5523,0.3637,0,20000
12140,"Auburn, IN",2025,6.3489,Attractive,240550.22533517735,6.5951,-0.1261,2.6344,3.2455,-0.5878,-1.0181,0,56000
24340,"Grand Rapids-Wyoming-Kentwood, MI",2025,6.3414,Attractive,341863.0221507302,6.5951,-0.1261,2.6344,4.6636,0.6803,0.4,0,0
12100,"Atlantic City-Hammonton, NJ",2025,6.3391,Attractive,394563.7219388397,6.5951,-0.1261,2.6344,7.1091,0.8174,2.8455,0,80000
11380,"Andrews, TX",2025,6.3366,Attractive,248701.4043959319,6.5951,-0.1261,2.6344,3.1273,0.1273,-1.1363,0,0
28300,"Keene, NH",2025,6.3284,Attractive,375732.1272665578,6.5951,-0.1261,2.6344,3.0182,0.4765,-1.2454,0,0
21500,"Erie, PA",2025,6.3161,Attractive,208284.2887912558,6.5951,-0.1261,2.6344,4.3273,0.469,0.0637,0,260000
33620,"Moberly, MO",2025,6.3136,Attractive,171012.7567270263,6.5951,-0.1261,2.6344,3.8727,0.2394,-0.3909,0,0
13940,"Blackfoot, ID",2025,6.3121,Attractive,369014.96971098194,6.5951,-0.1261,2.6344,3.4636,-0.0614,-0.8,0,2700
22540,"Fond du Lac, WI",2025,6.3105,Attractive,276399.4355389718,6.5951,-0.1261,2.6344,2.9818,0.0568,-1.2818,0,14500
18700,"Corvallis, OR",2025,6.3099,Attractive,551080.797381437,6.5951,-0.1261,2.6344,4.2455,0.6288,-0.0181,0,0
21140,"Elkhart-Goshen, IN",2025,6.3079,Attractive,253634.35605501584,6.5951,-0.1261,2.6344,3.8364,-1.0969,-0.4272,0,378500
31500,"Madison, IN",2025,6.3044,Attractive,228486.68123786748,6.5951,-0.1261,2.6344,3.6636,-0.2864,-0.6,1,0
16260,"Cedar City, UT",2025,6.3024,Attractive,409982.03789739055,6.5951,-0.1261,2.6344,3.1091,0.1174,-1.1545,0,0
32140,"Marshall, MN",2025,6.3012,Attractive,207504.80194423845,6.5951,-0.1261,2.6344,3.7091,0.8924,-0.5545,0,0
23900,"Gettysburg, PA",2025,6.2871,Attractive,323317.19210645225,6.5951,-0.1261,2.6344,3.5455,0.4372,-0.7181,0,30000
16980,"Chicago-Naperville-Elgin, IL-IN",2025,6.2854,Attractive,354891.8057479139,6.5951,-0.1261,2.6344,4.7727,-0.369,0.5091,0,501768000
33940,"Montrose, CO",2025,6.2844,Attractive,483227.0145548519,6.5951,-0.1261,2.6344,4.4727,-0.1523,0.2091,0,0
39900,"Reno, NV",2025,6.2837,Attractive,564637.2420112994,6.5951,-0.1261,2.6344,4.4545,-0.3455,0.1909,0,1565000
30380,"Lewistown, PA",2025,6.2391,Attractive,182532.61711444493,6.5951,-0.1261,2.6344,3.7455,0.4372,-0.5181,0,38000
16660,"Charleston-Mattoon, IL",2025,6.2198,Attractive,141543.29178174035,6.5951,-0.1261,2.6344,3.7909,-0.1758,-0.4727,0,0
46020,"Truckee-Grass Valley, CA",2025,6.213,Attractive,599754.1944990786,6.5951,-0.1261,2.6344,4.8273,0.3106,0.5637,0,0
49620,"York-Hanover, PA",2025,6.209,Attractive,301982.2285326319,6.5951,-0.1261,2.6344,3.8727,0.4727,-0.3909,0,205000
47540,"Wapakoneta, OH",2025,6.2036,Attractive,225235.7622121861,6.5951,-0.1261,2.6344,3.9182,0.2349,-0.3454,0,3000
48300,"Wenatchee-East Wenatchee, WA",2025,6.2001,Attractive,526977.060575244,6.5951,-0.1261,2.6344,4.6545,-0.1955,0.3909,1,501000
11860,"Atchison, KS",2025,6.1967,Attractive,173589.80788068904,6.5951,-0.1261,2.6344,4.1455,0.2788,-0.1181,0,0
35740,"Norfolk, NE",2025,6.1722,Attractive,243174.50028720396,6.5951,-0.1261,2.6344,2.8364,0.3614,-1.4272,0,0
22060,"Faribault-Northfield, MN",2025,6.155,Attractive,341228.410897972,6.5951,-0.1261,2.6344,3.7455,0.7455,-0.5181,0,0
49340,"Worcester, MA",2025,6.1439,Attractive,473162.7790759757,6.5951,-0.1261,2.6344,4.9455,0.8122,0.6819,0,94800
39540,"Racine-Mount Pleasant, WI",2025,6.1401,Attractive,302716.0842232611,6.5951,-0.1261,2.6344,3.8364,0.3281,-0.4272,0,37000
18100,"Columbus, NE",2025,6.132,Attractive,268672.43659039476,6.5951,-0.1261,2.6344,2.7455,0.3788,-1.5181,1,2000
16180,"Carson City, NV",2025,6.119,Attractive,487046.5752030502,6.5951,-0.1261,2.6344,4.3273,-0.3644,0.0637,0,0
10580,"Albany-Schenectady-Troy, NY",2025,6.1184,Attractive,349590.4226583975,6.5951,-0.1261,2.6344,3.3545,0.0295,-0.9091,0,164000
27540,"Jasper, IN",2025,6.1172,Attractive,231880.5154495677,6.5951,-0.1261,2.6344,2.8636,-0.4614,-1.4,0,0
22420,"Flint, MI",2025,6.1151,Attractive,179429.1594141984,6.5951,-0.1261,2.6344,6.7545,1.0545,2.4909,0,0
46780,"Van Wert, OH",2025,6.1092,Attractive,175242.02059728428,6.5951,-0.1261,2.6344,4.4182,0.6099,0.1546,0,136000
38860,"Portland-South Portland, ME",2025,6.1037,Attractive,524881.7111857205,6.5951,-0.1261,2.6344,2.8,0.15,-1.4636,0,74000
36500,"Olympia-Lacey-Tumwater, WA",2025,6.103,Attractive,524720.27571195,6.5951,-0.1261,2.6344,4.3455,-0.2128,0.0819,1,0
49080,"Winnemucca, NV",2025,6.0988,Attractive,335242.1651916139,6.5951,-0.1261,2.6344,3.9727,-0.3106,-0.2909,0,0
12380,"Austin, MN",2025,6.0983,Attractive,194701.96579400753,6.5951,-0.1261,2.6344,3.4455,0.7538,-0.8181,0,0
41100,"St. George, UT",2025,6.098,Attractive,540645.1897731093,6.5951,-0.1261,2.6344,3.4545,0.1212,-0.8091,0,157000
18740,"Coshocton, OH",2025,6.0881,Attractive,175794.44139069392,6.5951,-0.1261,2.6344,5.3909,0.5576,1.1273,0,31000
35820,"North Platte, NE",2025,6.079,Attractive,212355.36479943225,6.5951,-0.1261,2.6344,2.8,0.15,-1.4636,0,515000
49660,"Youngstown-Warren, OH",2025,6.0651,Attractive,162404.7327303102,6.5951,-0.1261,2.6344,5.7636,0.7136,1.5,0,20000
26980,"Iowa City, IA",2025,6.0606,Attractive,326097.7488938431,6.5951,-0.1261,2.6344,2.8455,0.4788,-1.4181,0,0
40080,"Richmond-Berea, KY",2025,6.055,Attractive,256823.50109141067,6.5951,-0.1261,2.6344,4.9182,-0.2401,0.6546,1,72500
